Site,DateTime,Species
6,19/02/2021 10:10,Human
7,18/02/2021 12:30,Human
8,19/02/2021 09:15,Human
9,18/02/2021 12:45,Human
10,19/02/2021 11:30,Human
11,18/02/2021 12:55,Human
12,18/02/2021 10:00,Human
13,18/02/2021 14:40,Human
14,18/02/2021 13:45,Human
15,19/02/2021 15:45,Human
16,18/02/2021 09:15,Human
17,18/02/2021 17:50,Human
18,19/02/2021 16:35,Human
19,19/02/2021 12:05,Human
20,19/02/2021 12:45,Human
21,18/02/2021 17:00,Human
22,19/02/2021 08:45,Human
23,19/02/2021 12:55,Human
24,19/02/2021 10:55,Human
25,19/02/2021 12:25,Human
26,19/02/2021 14:40,Human
27,18/02/2021 18:35,Human
28,19/02/2021 11:10,Human
29,19/02/2021 11:45,Human
30,19/02/2021 15:15,Human
31,19/02/2021 09:30,Human
32,18/02/2021 18:20,Human
33,18/02/2021 11:00,Human
34,19/02/2021 17:45,Human
35,18/02/2021 17:35,Human
36,19/02/2021 13:40,Human
37,19/02/2021 17:00,Human
38,19/02/2021 15:10,Human
39,18/02/2021 18:00,Human
40,19/02/2021 18:00,Human
41,18/02/2021 10:30,Human
42,18/02/2021 14:20,Human
43,18/02/2021 15:20,Human
6,18/03/2021 17:35,Human
8,18/03/2021 16:45,Human
9,18/03/2021 11:55,Human
10,19/03/2021 15:35,Human
11,18/03/2021 12:06,Human
12,18/03/2021 09:26,Human
13,18/03/2021 13:10,Human
15,19/03/2021 12:05,Human
16,18/03/2021 08:49,Human
17,18/03/2021 14:55,Human
18,19/03/2021 09:30,Human
19,19/03/2021 14:30,Human
20,19/03/2021 13:25,Human
21,18/03/2021 13:35,Human
22,18/03/2021 15:45,Human
23,19/03/2021 13:05,Human
24,18/03/2021 18:00,Human
25,19/03/2021 13:55,Human
27,18/03/2021 15:20,Human
28,18/03/2021 18:15,Human
29,19/03/2021 15:05,Human
30,19/03/2021 16:15,Human
31,18/03/2021 17:00,Human
32,18/03/2021 16:15,Human
33,18/03/2021 11:05,Human
35,18/03/2021 14:25,Human
36,19/03/2021 17:00,Human
37,19/03/2021 10:00,Human
38,19/03/2021 12:45,Human
39,18/03/2021 15:05,Human
41,18/03/2021 10:13,Human
42,18/03/2021 12:35,Human
6,18/04/2021 16:30,Human
7,18/04/2021 12:05,Human
8,17/04/2021 17:50,Human
9,18/04/2021 12:30,Human
10,17/04/2021 16:05,Human
11,18/04/2021 12:45,Human
12,18/04/2021 10:25,Human
13,18/04/2021 14:00,Human
14,18/04/2021 13:19,Human
15,17/04/2021 12:30,Human
16,18/04/2021 09:45,Human
17,18/04/2021 16:50,Human
18,17/04/2021 10:00,Human
19,17/04/2021 15:30,Human
20,17/04/2021 14:35,Human
21,18/04/2021 15:15,Human
22,17/04/2021 18:10,Human
23,17/04/2021 14:25,Human
