site,habitatType
51,Forest
50,Forest
33,Forest
7B,Forest
52,Forest
41,Forest
9,Wetlands
11,Forest
55,Dunes
14B,Forest
62,Dunes
42B,Dunes
53,Dunes
54,Dunes
13,Dunes
16B,Dunes
12,Forest
65,Forest
21B,Sparse scrubland
43,Forest
66,Dense scrubland
63,Dunes
17B,Sparse scrubland
58,Forest
35,Dense scrubland
67,Forest
69,Sparse scrubland
39B,Dense scrubland
27,Dense scrubland
22B,Dense scrubland
32,Dense scrubland
60,Wetlands
6B,Wetlands
24,Dense scrubland
68,Grassland
28,Dense scrubland
61,Forest
31B,Forest
8,Dense scrubland
25B,Dense scrubland
48,Wooded scrubland
29,Dense scrubland
10B,Wetlands
19B,Forest
47,Dense scrubland
20,Wooded scrubland
30,Grassland
36,Dense scrubland
23B,Forest
26B,Grassland
46,Grassland
38,Dense scrubland
44,Dense scrubland
45,Dense scrubland
34,Grassland
57,Wooded scrubland
56,Forest
18B,Wooded scrubland
